行ID,文書ID,文書内ID,anotation1,anotation2,文,サービス,立地,部屋,設備・アメニティー,風呂,食事,その他
1178,226,4,k,k,今回VOD付プランを利用しましたが、最新の人気映画が少ないように感じました。,,,,1,,,
1179,226,5,k,k,久々に映画が見れると楽しみにしていただけに残念でした。,,,,1,,,
1180,226,6,p,p,総合的には部屋もきれいだし、加湿器もあるし、良いホテルだと思います。,,,1,1,,,
1181,226,7,Z,Z,宮崎に出張の際はまた利用したいと思います。,,,,,,,1
,,,,,,,,,,,,
1182,227,1,k,k,暖かい日だったのでエアコンを切ったのだがそれでも暑かった集中管理のため個別では細かいコントロールできないしかも窓ガラスは嵌め殺しのためビクともしない（おそらく全室）換気量が少ないのか換気扇が動いていても温度は下がらない壁が薄いのか防音対策がされてないのか隣からの騒音が聞こえてくる何をしているのかガタゴトガタゴト携帯のバイブレーターと思われる振動音とここまでは起きているからまだ良いのだが、深夜には轟々たる呼吸音の響き（これはホテル側で事前に判るまいが妙案はないものか,,,1,,,,
,,,,,,,,,,,,
1183,228,1,Z,Z,旅行の行程で２日間利用しました。,,,,,,,1
1184,228,2,p,p,部屋も綺麗で大浴場も満喫できました。,,,,,1,,
1185,228,3,k,k,少し残念だったのは、朝食利用時に食物の一部とサラダドレッシングが切れていたことと、食後はトレイを下げてくれという表示が分かりにくかったためそのまま立ち去る宿泊客が多く、後から来た人がどこに座ろうかとうろうろしていました。,,,,,,1,
1186,228,4,p,p,総じて快適な時間を過ごせましたので、機会があればまた利用したいです。,1,,,,,,
,,,,,,,,,,,,
1187,229,1,p,p,有線が楽しめるのは、珍しいホテルだと思います。,,,,1,,,
1188,229,2,py,e,楽しませて頂いたのですが、リモコンがあると助かります。,,,,1,,,
,,,,,,,,,,,,
1189,230,1,k,k,苦情ではないのですが、浴室のドライヤーが冷風だけになっていたり、体重計が1つになっていたりしていて、利用しにくくなっているようでした。,,,,1,,,
1190,230,2,y,y,また、風呂場にはアメニティーを備えてもいいのかもと思いました。,,,,1,,,
1191,230,3,p,Z,そのほかはいつも満足させていただいております。,,,,,,,1
,,,,,,,,,,,,
1192,231,1,Z,Z,会社が近くなので東京の出張時には良く泊まります。,,,,,,,1
1193,231,2,kp,e,部屋が狭いのと、朝食バイキングの種類が少ないのが少し難点ですが従業員の方の対応は非常によいです。,1,,1,,,1,
1194,231,3,p,p,周囲も繁華街で飲食には非常に便利です。,,1,,,,,
,,,,,,,,,,,,
1195,232,1,p,p,この価格帯では、十分です。,,,,,,,1
1196,232,2,pk,e,但し、駅から近いのですが、繁華街で面食らいました。,,1,,,,,
,,,,,,,,,,,,
1197,233,1,Z,Z,当日の宿泊予約でした。,,,,,,,1
1198,233,2,p,p,部屋は綺麗でバラのいい香りがしました。,,,1,,,,
1199,233,3,k,k,看板の目の前の部屋だったので少し眩しかったです。,,1,,,,,
,,,,,,,,,,,,
1200,234,1,p,p,リーズナブルな料金の割には、天然温泉付が嬉しかったです。,,,,,1,,
1201,234,2,kp,e,部屋はやや狭いですが、とても綺麗でしたし、ルームシアターも楽しめました。,,,1,,,,
1202,234,3,k,k,残念なのは、お風呂が１種類でサウナがなかったことぐらいかな？,,,,,1,,
1203,234,4,p,p,接客もGOODで、総合で5点満点つけました。,1,,,,,,
1204,234,5,p,p,五稜郭公園も近いし、またぜひ利用したいです！,,1,,,,,
,,,,,,,,,,,,
1205,235,1,k,k,21時チェックインの当日予約で安いプランで予約したのですが…やっぱり、安いからなのか、部屋の清掃が全くいきとどいてないと思いました。,,,,,1,,
1206,235,2,k,k,洗面の流しれる所にゴミが残ってたし、部屋のジュータンにも髪の毛が…。,,,,1,1,,
1207,235,3,k,k,家具の後ろもホコリがいっぱい。,,,,1,,,
1208,235,4,pk,k,なんか…かなり有名ですごくいいホテルのイメージだったので、がっかり感が半端無かったです。,,,,,,,1
,,,,,,,,,,,,
1209,236,1,k,k,ナノ風呂が熱すぎて入れませんでした。,,,,,1,,
1210,236,2,k,k,私だけでなく他の方も入れない様でしたじゃあ朝入ろうと朝行ってみると今度はぬるすぎて入れませんでした。（水に近かった。）,,,,,1,,
,,,,,,,,,,,,
1211,237,1,k,k,入口とフロントの場所が違く手戸惑いました。,,,1,,,,
1212,237,2,p,p,接客もていねいで、お部屋もきれいで使いやすかったです。,1,,,,,,
1213,237,3,y,y,女性にサービスでアメニティをもらえますが、スキンケアを入れてもらえると嬉しいです。,,,,1,,,
,,,,,,,,,,,,
1214,238,1,Z,Z,立体駐車場ですが、ミニバンOKなので、予約をしました。,,,,,,,1
1215,238,2,p,p,立川駅に近く、食事には便利です。,,1,,,,,
1216,238,3,pk,e,フロントの方は丁寧で親切ですが、男性のみでした。,1,,,,,,
1217,238,4,k,k,ベッドが柔らかすぎる気がします。,,,1,1,,,
1218,238,5,k,k,空調の切替え（冷房～暖房）がされていなっかったので、11月にもかかわらず暖房が入らなかったが、これもエコかと思いました。,,,,1,,,
1219,238,6,k,k,ドライヤーは固定式で、一昔前のビジネスホテルを思わせてくれました。,,,,1,,,
,,,,,,,,,,,,
1220,239,1,p,p,朝食がとても良かったです。,,,,,,1,
1221,239,2,p,p,三泊したのですがおにぎりもパンもスープも種類があるので飽きませんでした。,,,,,,1,
1222,239,3,p,p,コーヒーなど紙コップ用の蓋があるので部屋でゆっくり飲むことができました。,,,,,,1,
1223,239,4,Z,Z,また機会がありましたら利用したいと思います。,,,,,,,1
1224,239,5,ky,k,少し寒く、暖房をあげると乾燥するので毛布があると良かったですね。,,,1,1,,,
,,,,,,,,,,,,
1225,240,1,p,p,部屋はなかなかいい感じでした。,,,1,,,,
1226,240,2,kp,e,バスルームはやや古さはありますが清潔にしてあり、水量や使い勝手もよかったです。,,,,,1,,
1227,240,3,p,p,朝食サービスなどは、とても満足できました。,,,,,,1,
1228,240,4,k,k,ただ、壁の薄さか窓からか分かりませんが、隣の部屋の話し声がかなりはっきり聞こえてきました。,,,1,,,,
1229,240,5,pk,e,これさえなければかなり良いホテルとと思うのですが、ちょっと残念です。,,,,,,,1
,,,,,,,,,,,,
1230,241,1,Z,Z,１月４日に家族旅行で利用させていただきました。,,,,,,,1
1231,241,2,p,p,素泊まりでしたが、リーズナブルな料金でよかったです。,,,,,,,1
1232,241,3,k,k,ただ、近くのおすすめの食事どころを教えてもらって行ったら営業していなかったり、翌朝の二条城の情報も間違っていたり（閉城日であった）と情報があてになりませんでした。,1,,,,,,
1233,241,4,k,k,この２点は自分でリサーチしておけば回避できましたが、残念でした。,,,,,,,1
,,,,,,,,,,,,
1234,242,1,pk,k,フロントの方の対応が暖かみのある対応で好感が持てま当プランだとモーニングが付いているのか、分かりづらかった食べませんでしたけどネットの説明にはモーニング付きみたいな感じが表示されていましたので。,1,,,,,,
,,,,,,,,,,,,
1235,243,1,p,p,チェックイン時間の14時前に到着しましたが、荷物を預かって部屋に運んでくれていたのがありがたかったです。,1,,,,,,
1236,243,2,p,p,部屋も綺麗でアメニティも揃っていたので良かったです。,,,1,1,,,
1237,243,3,k,k,お風呂の排水が溜まりがちなのと、スリッパがむき出し（消毒済みなのか分からない）なのが残念でした。,,,,,,,
,,,,,,,,,1,1,,
1238,244,1,p,p,お部屋も綺麗で、オーシャンビューがとても気持ちよかったです朝食のバイキングのみ利用しましたが、目の前で焼いてもらえるオムレツが美味しかった！,,1,1,,,,
1239,244,2,pk,e,ジャムが美味しかったのですが、空っぽが多かったのでちょっと残念また泊まりたいですね,,,,,,1,
,,,,,,,,,,,,
1240,245,1,Z,Z,一昨年にも宿泊しました。,,,,,,,1
1241,245,2,Z,Z,今回はかにの食べ放題プランがあったので利用しました。,,,,,,,1
1242,245,3,p,p,スタッフの方も丁寧な対応をしていただき気持ちよかったです。,1,,,,,,
1243,245,4,y,Z,前回のプランと違うので部屋も異なったのですが、（前回はあった）大きな洗面台がどの部屋にもあるととても便利のようです。,,,,,1,,
1244,245,5,p,p,清掃も行き届いており、満足できました。,1,,1,,,,
,,,,,,,,,,,,
1245,246,1,p,p,夜遅かったにも関わらず、親切に対応していただきました。,,,,,,,1
1246,246,2,Z,Z,ありがとうございました。,,,,,,,1
1247,246,3,kp,e,お部屋は多少古いかもしれませんが、従業員の方の心遣いと、立地が大変よいと思います。,,,1,,,,
1248,246,4,Z,Z,またの機会にお願いします。,,,,,,,1
,,,,,,,,,,,,
1249,247,1,p,p,駅のすぐ近くでコンビニも併設されていてとても便利でした。,,1,,,,,
1250,247,2,p,p,イベントのチケを見せると500円引きというプランもよかったです。。,1,,,,,,
1251,247,3,kp,e,部屋はせまかったですが、設備もきれいで掃除も行き届いていて快適でした。,,,1,,,,
1252,247,4,e,e,疲れて熟睡したので電車の音も全く気になりませんでした。,,,1,,,,
,,,,,,,,,,,,
1253,248,1,Z,Z,３度目の利用でしたが、今回初めて朝食をいただきました。,,,,,,1,
1254,248,2,k,k,バイキングは品数がちょっと少ない気がしました。,,,,,,1,
1255,248,3,k,k,生卵が無かったのが残念です。,,,,,,1,
1256,248,4,p,p,部屋は綺麗でくつろげました。,,,1,,,,
1257,248,5,Z,Z,また泊ろうと思っています。,,,,,,,1
,,,,,,,,,,,,
1258,249,1,p,p,とてもきれいなホテルで、室内も清潔です。,,,1,,,,
1259,249,2,p,p,大浴場があって、ゆっくり入浴できるのがよかったです。,,,,,1,,
1260,249,3,k,k,朝は入浴して支度をしてから朝食をとりたかったのですが、朝食が9:00までなので、朝が慌ただしかったのが残念です。,,,,,,1,
1261,249,4,p,p,でも、それ以外は良かったと思います。,,,,,,,1
,,,,,,,,,,,,
1262,250,1,Z,Z,禁煙室で予約しました。,,,1,,,,
1263,250,2,k,k,いざ部屋に入り、一息ついて荷物を開けたら、ＴＥＬがあり、喫煙室の部屋を間違えて紹介してしまいました…なんて事がありました。,,,1,,,,
1264,250,3,Z,k,部屋はタバコ臭くなかったし、荷物を開けてしまい、めんどくさかったので、そのままの部屋にして頂きました。,,,1,,,,
1265,250,4,p,p,朝、早くにチェックインしましたが大変、気持ちいい対応をして頂きました。,1,,,,,,
1266,250,5,k,k,ただ変な時間にいた私が悪いと思うのですが、掃除機の音がうるさくて仮眠ができなかったのが残念でした。,,,1,,,,
1267,250,6,y,y,あと近くにコンビニがあると便利でしたね。,,1,,,,,
,,,,,,,,,,,,
1268,251,1,Z,Z,仕事で利用しました。,,,,,,,1
1269,251,2,k,k,もともと寝るだけだと思ってたのですが、隣の部屋の声がよく聞こえるのが気になりました。,,,1,,,,
1270,251,3,e,Z,寝れないほどではなかったのでそれほど気にしていません。,,,1,,,,
1271,251,4,p,p,立地は大変都合がよかったです。,,1,,,,,
,,,,,,,,,,,,
1272,252,1,p,p,海椿に泊まり、お部屋や食事は良かったと思います。,,,1,,,1,
1273,252,2,k,k,が、「クラブサロン」の案内が曖昧で、こちらから聞いても「１Ｆのラウンジです」としか教えてもらえず、そのラウンジでも、海椿のサービスカードを見せながらここでいいのかと聞いても、「どうぞ」と言うばかり。,1,,,,,,
1274,252,3,k,k,メニューを見て注文して、お値段が書いてあったので不思議でしたが、「でもラウンジだし…、きっとサービスなのだろう」と思ってお茶をいただいたところ、伝票がきてフロントで支払えという指示。,1,,,,,,
1275,252,4,k,k,何かの間違いかと、別の方に聞き直しても、「フロントでお支払い下さい」の一点張り。,1,,,,,,
1276,252,5,k,k,仕方なく支払おうとすると、フロントは長蛇の列。,1,,,,,,
1277,252,6,k,k,楽しみにしていた入浴は、そんなこんなで暗くなってしまって周囲の景色も見えなくなってしまいました。,1,,,,,,
1278,252,7,pk,k,フロントで抗議したところ、無料にするとは言ってくれたのですが、せっかく楽しみにしていた気持ちも萎えてしまったので、お金はお支払いしました。,1,,,,,,
1279,252,8,k,k,もてなされる楽しい気持ちと、トラブルの後、付け足しで施（ほどこ）しのように「お金はいいです」と言われるのでは、全然違います。,1,,,,,,
1280,252,9,Z,Z,後で確かめたところ、「ラウンジ」ではなく、「クラブサロン」でしたね。,1,,,,,,
1281,252,10,k,k,どうして、係の方は「ラウンジ」とおっしゃったのでしょう。,1,,,,,,
1282,252,11,y,y,きちんと誰にでも分かるように表示、案内をしていただきたいと思います。,1,,,,,,
,,,,,,,,,,,,
1283,253,1,k,k,テレビの映りが悪い,,,,1,,,
,,,,,,,,,,,,
1284,254,1,p,p,稲佐山の夜景が見られたのが本当に良かったです。,,1,,,,,
1285,254,2,p,p,ロープウェイが休みと知って、急遽ホテルを変更したのですが、変更した甲斐がありました。,1,,,,,,
1286,254,3,p,p,「室内から見られるので寒くない」という点でもいいかもしれないです。,,,1,,,,
1287,254,4,kpe,e,禁煙の部屋が空いていなかったのが残念でしたが、掃除も行き届いており、それほど気にはなりませんでした。,,,1,,,,
1288,254,5,Z,o,おそらくブライダル向きのホテルなのでしょう。,,,,,,,1
1289,254,6,p,p,とても女性に喜ばしいサービスを受けられると思います。,1,,,,,,
,,,,,,,,,,,,
1290,255,1,Z,Z,F1日本GPの時に利用させていただきました。,,,,,,,1
1291,255,2,p,p,駅から近いので移動は楽々でした。,,1,,,,,
1292,255,3,p,p,従業員の方の対応も良かったと思います。,1,,,,,,
1293,255,4,y,y,ただ、ホテルの駐車場の時間帯がもう少し何とかならないかな？と思います。,1,,,,,,
1294,255,5,Z,Z,仕事が終わってから都内から車で行ったのですが、24時だったかな？,1,,,,,,
1295,255,6,k,k,過ぎると、ホテルの駐車場に入れない。,1,,,,,,
1296,255,7,k,k,朝は６時からでないと出せない。。。,1,,,,,,
1297,255,8,k,k,宿泊者駐車無料だったので、そりゃあもう急ぎました。,1,,,,,,
1298,255,9,y,y,ギリギリ間に合いましたが、もう少し、連絡を入れたら時間外でも入出OKにしていただけると、もっと良かったです。,1,,,,,,
,,,,,,,,,,,,
1299,256,1,Z,Z,１２月に宿泊させてもらいました。,,,,,,,1
1300,256,2,k,k,お風呂が狭いのでお湯がすぐに入りました。,,,,,1,,
1301,256,3,k,k,外が寒かったのでお湯につかって体を温めようとして、ふと正面をみると目線の先に前の宿泊者の方（？）の髪の毛が数本。,,,,,1,,
1302,256,4,k,k,これではリラックスできないとあきらめてシャワーですまそうとシャワーカーテンの状態を確認すると、バスタブの側の裾のほう一面に黒いものがいっぱいありました。,,,,1,1,,
1303,256,5,k,k,ちゃんとシャワーカーテンを清掃されているのでしょうか。,1,,,,1,,
1304,256,6,kp,e,お風呂は最悪でしたが、お部屋はきれいでしたし、ベッドも広々としてよく眠れました。,,,,,,,
,,,,,,,,1,,,,
1305,257,1,ek,k,東口階段からはそれほど距離はありませんが、そこまでが遠いです。,,1,,,,,
1306,257,2,e,e,部屋は普通です。,,,1,,,,
1307,257,3,k,k,ただし新幹線側の部屋だと列車が通るたびに結構音がします。,,,1,,,,
1308,257,4,p,p,今回のプラン価格（約4100円）であれば価格比はいいと思います。,,,,,,,1
,,,,,,,,,,,,
1309,258,1,kp,e,立地としては街から少し遠いですが、その他はとても素晴らしいです。,,1,,,,,
1310,258,2,Z,Z,高松に用事があるときは毎回使わさせてもらっています。,,,,,,,1
,,,,,,,,,,,,
1311,259,1,Z,Z,11月21日に1泊で利用致しました。,,,,,,,1
1312,259,2,Z,Z,このホテルに決めた理由のひとつに、書き込み評価が大変高い事とがあります。,,,,,,,1
1313,259,3,p,p,実際フロントの対応、客室係りの対応、申し分ない対応でした。,1,,,,,,
1314,259,4,p,p,館内及び客室の行き届いた清潔感、館内で行き会うスタッフの方の対応とても申し分のない対応に満足でした。,1,,,,,,
1315,259,5,k,y,しかしチェックイン時の対応は過剰ではと疑問です。,1,,,,,,
1316,259,6,pk,k,自分たちの時は他の客が居ませんでしたので良い雰囲気でしたが、何組もの宿泊者が重なった場合対応出来るのでしょうか？,1,,,,,,
1317,259,7,y,y,フロントのカウンターで対応するほうが良いように思います。,1,,,,,,
1318,259,8,p,p,温泉施設も大変良く、清潔でバスタオル、タオル等も設備良く大変満足できるものでした。,,,,,1,,
1319,259,9,pk,k,全てにおいて大変グレードの高いホテルだと思いますが、最後にとても残念に思う所が有ります。,,,,,,,1
1320,259,10,k,k,客室にあるアンケートにも書きましたが、欅という食事所での事、朝食時指定の時間に行きましたが、出迎える係の者もいなく、しばらく待っていると、接客中の係りの人が昨日と同じテーブルにどうぞと言う声が、テーブルにつくが、何の対応もなし、急須を持ってうろうろしている係りもいるが、自分たちには気がつかない様子、そのうち次の客が来きて、その客にはすぐに接客、また次の客が来てそちらの接客、まったく接客順がめちゃくちゃです。,1,,,,,1,
1321,259,11,k,k,自分たちは何分も待たされお預け状態とても不愉快な思いをしました。,1,,,,,,
1322,259,12,e,e,料理等に何の問題も有りません。,,,,,,1,
1323,259,13,k,k,ご飯も自分たちのところには、茶碗に軽く盛った物だけを出し、隣のテーブルを見ると御ひつが置いてあり、なんと言う対応かと？,,,,,,1,
1324,259,14,k,k,おかわりおを告げると御ひつを持って来ましたが、その後他の接客を見ていましたが、ご飯ください、味噌汁くださいと叫ぶ声も聞こえ、また他の客には、最初から御ひつを出していたり、ここの接客にはマニュアルが無いのかと非情に腹立たしく思いました。,,,,,,1,
1325,259,15,k,k,よほど責任者を呼んで文句の一つもと思いましたが、他の人達の雰囲気も考え抑えました。,1,,,,,,
1326,259,16,y,y,まず、ここの食事所には、統括出来る者がいない、これほどの高級なホテルを謳っているならそれ位出来る統括者を置いとくべきだと思います。,1,,,,,,
1327,259,17,k,k,出迎える係りもいないのにどの客が先か判らないでしょう。,1,,,,,,
1328,259,18,k,k,この事だけが非情に残念で成りません。,1,,,,,,
1329,259,19,y,y,今後の改善に期待します。,,,,,,,1
,,,,,,,,,,,,
1330,260,1,k,k,・立地は駅から少し離れていて、周りにも食事処が少ないです。,,1,,,,,
1331,260,2,p,p,ただ、近くの食事処は美味しかったです。,,,,,,1,
1332,260,3,p,p,・部屋はとてもキレイです。,,,1,,,,
1333,260,4,k,k,２４時間換気機能のせいか、乾燥しがちです。,,,1,,,,
1334,260,5,p,p,・朝食では、朝食込みであの安さを考えると、良いと思います。,,,,,,1,
1335,260,6,p,p,飲み物は自販機のものが飲み放題というのも魅力です。,,,,,,1,
1336,260,7,p,p,・部屋の風呂はキレイです。,,,1,,,,
1337,260,8,k,k,天然温泉がありますが、せまく、あまりゆっくりできない感じだったのが残念です。,,,,,1,,
1338,260,9,k,k,温泉は１階にあって食事会場を通っていく必要があり、女性の場合朝に入ることができるので、入る女性は少ないと思います。,,,,,1,,
1339,260,10,k,k,・サービスの一環かどうか分かりませんが、なぜかフロントのカウンター内にライトが設置されており、それが眩しすぎます。,1,,,,,,
1340,260,11,y,y,これは何のためかよく分かりませんし、省エネ志向の世間ですし、是非やめてもらいたいです。,1,,,,,,
1341,260,12,p,p,スタッフの対応は丁寧で、朝食を管理する年配の女性も感じの良い方です。,,,,,,1,
1342,260,13,p,p,・部屋には、消臭スプレーが常備されているので、飲みに行った後とかには嬉しいアイテムです。,,,,1,,,
,,,,,,,,,,,,
1343,261,1,Z,o,広い部屋にして下さってありがとうございます。,,,1,,,,
1344,261,2,y,y,m（__）m要望を言いますと～?,,,,,,,1
1345,261,3,y,y,加湿器が欲しいです。?,,,,1,,,
1346,261,4,Z,Z,新人女性の教育。,1,,,,,,
1347,261,5,k,k,言葉遣いがデタラメです?,1,,,,,,
1348,261,6,k,k,男性スタッフは問題ないのですが3人立たれると威圧感があります。（彼女談）,1,,,,,,
1349,261,7,p,p,安くて良い部屋を提供していただいてるのにすみません。,,,1,,,,
,,,,,,,,,,,,
1350,262,1,ep,e,全体的に普通としかいいようがありませんが、部屋は広めで価格は安いです。,,,1,,,,
1351,262,2,k,k,残念なのは、風呂＆トイレ設備がやや古く、トイレにウォシュレットがついていません。,,,,,1,,
1352,262,3,e,Z,あとは問題ないです。,,,,,,,1
,,,,,,,,,,,,
1353,263,1,p,p,接客はとても良かったです。,1,,,,,,
1354,263,2,k,k,部屋のリモコンは一部壊れている。,,,,1,,,
1355,263,3,ky,k,冷蔵庫の中は匂いがするので、いくら中が空でも清潔にはしてほしかった。,,,,1,,,
1356,263,4,p,p,部屋からの海の眺めは夜景も見えてすごく良かったです。,,1,1,,,,
1357,263,5,pk,e,食事は美味しく頂きましたが、希望としては、夕食のデザートは見た目はいいのですが、味はイマイチです。,,,,,,1,
1358,263,6,y,y,もう少し味があったほうがいいと思います。,,,,,,1,
1359,263,7,k,k,甘さがなく、固まらしただけみたいな感じです。,,,,,,1,
1360,263,8,e,e,お風呂は不思議な感じがしました。,,,,,1,,
1361,263,9,e,e,お湯は確かに熱いのですが、浴槽内のタイルは冷たくお風呂に浸かっていると、冷たいけど熱いって感じで。,,,,,1,,
1362,263,10,Z,Z,でも、お世話になりました。,,,,,,,1
,,,,,,,,,,,,
1363,264,1,Z,Z,キングサイズＷが取れなかったので、今月は他ホテルにしようかと考えていましたが、結局またお世話になってしまいました。,,,,,,,1
1364,264,2,p,p,こうなるともう、帰巣本能のようなものだね、と連れと笑いあいましたが、今回も気持ちよくスティさせて頂きました。,,,,,,,1
1365,264,3,p,p,貴ホテルで感心するのは利用者の要望や状態を、フロントの方たちが全て把握していらっしゃる点です。,1,,,,,,
1366,264,4,p,p,「お連れ様のおかげんは大丈夫ですか？」「ご紹介させて頂いた店はご満足いただけましたでしょうか？」「今回も○○をお部屋にお持ちいたしましょうか？」「カードキーの事では大変失礼致しました」本当に、申し送りやメモがきちんとしていなければ、出来ないことです。,1,,,,,,
1367,264,5,Z,Z,一日目の夕食はスタッフの方に予約して頂いたイタリアン、二日目は遠来の友人と会ったので、三人で地下の和食にしました。,,,,,,1,
1368,264,6,p,p,どちらも美味しく、サービスもきちんとしていて満足です。,,,,,,1,
1369,264,7,k,k,ただ、和食のサービスをして下さった方がお酒について質問すると「さぁ・・・どうなんでしょう・・？」という感じだったのがマイナス点でしょうか。,,,,,,1,
1370,264,8,Z,Z,総支配人様ご贔屓の「成田寿司」も行って見たいと思っています。（頑張って働いて貯金をします。笑）,,,,,,1,
1371,264,9,Z,Z,また来月お世話になります。,,,,,,,1
1372,264,10,Z,Z,宜しくお願い致します。,,,,,,,1
1373,264,11,Z,Z,ありがとうございました。,,,,,,,1
,,,,,,,,,,,,
1374,265,1,k,k,部屋着が小さかった,,,,1,,,
,,,,,,,,,,,,
1375,266,1,p,p,フロントの対応は親切。,1,,,,,,
1376,266,2,ke,e,部屋やバスルームが狭いがビジネスホテルと考えれば十分。,,,,,1,,
1377,266,3,p,p,必要な設備、備品は全て揃っていて快適。,,,,1,,,
1378,266,4,p,p,駐車場が無料なのが良い。,1,,,,,,
1379,266,5,k,k,ホテル内にビールなど飲み物の自販機はあるが、おつまみがなかったのは残念。,1,,,1,,,
,,,,,,,,,,,,
1380,267,1,p,p,良かったです。,,,,,,,1
1381,267,2,k,k,漫画のある場所に気づくのが遅れてしまったのが残念。,,,,1,,,
1382,267,3,Z,Z,また泊まります。,,,,,,,1
1383,267,4,y,y,自由に使えるパソコンがあるといいなー。,,,,1,,,
,,,,,,,,,,,,
1384,268,1,Z,Z,12月05日に宿泊しました。,,,,,,,1
1385,268,2,k,k,とても不満でしたリピートは無いと思いますとにかくサービスに関して不満です部屋の外に目玉の大浴場（展望？実際すりガラスで何も見えない）があるのに浴衣スリッパでの利用ができないこのことはあらかじめ記載していただきたいですホテルだから当たり前などといのはお部屋でお風呂が十分に利用できるホテルのことです利用者はそのための簡易な衣類の携帯しなければ実際気軽に利用はできませんおそらくその目的で記載がしてなかったのだと思いますなのでとても不満ですその分の料金を返してほしいくらいです本来であればもう一度入りたいと思っていたところも結局入れませんでしたお風呂を楽しみにして食事も付いていないのにこの料金でもと思ったのに納得できませんでしたその上あとからあとから安いプランを出してくるやり方は詐欺です当方結局楽天の初めてのご利用割引が利用できなくなりとっても悔しい思いをいたしましたとにかく二度と利用いたしません,1,,,1,1,,
,,,,,,,,,,,,
1386,269,1,Z,Z,１／２０出張で利用しました。,,,,,,,1
1387,269,2,kp,o,駅から少し離れていましたが、この価格で朝食と温泉がついているのは非常に嬉しい。,,1,,,1,1,
1388,269,3,k,k,ただ、温泉が時間交代制なところがせわしなく残念。,,,,,1,,
1389,269,4,y,y,リニューアルの際は温泉を男女それぞれ作ることを検討して欲しい。,,,,,1,,
,,,,,,,,,,,,
1390,270,1,Z,Z,立地と朝食（軽食）付きで選びました。,,,,,,,1
1391,270,2,p,p,部屋は広く、清掃も行き届いており、清潔で快適でした。,,,1,,,,
1392,270,3,k,k,２０時頃のチェックインだったのですが、貸し出し用ノートパソコンが１台も残っていないのが残念でした。,,,,1,,,
,,,,,,,,,,,,
1393,271,1,k,e,楽天トラベルのプログラムのミスかもしれないのですが…。,,,,,,,1
1394,271,2,Z,Z,先日、予約をせずに伺った時のことです。,,,,,,,1
1395,271,3,Z,Z,伺う前に携帯から空室確認を兼ねて、予約をしようとしたのですが、途中で電池切れになってしまいました。,,,,,,,1
1396,271,4,Z,Z,仕方ないのでそのままフロントに伺うことにしました。,,,,,,,1
1397,271,5,k,k,残室数も、そんなにすぐに埋まってしまうほどではなかったので、直接でも大丈夫だろうとタカを括っておりましたら、残念ながら満室とのこと。,1,,,,,,
1398,271,6,Z,Z,ネットサイト確保の枠なのかと思い、「つい先ほどネットで検索したら空きがあったようだが…」という旨お話したのですが、やはり満室ということで、諦めて帰りました。,1,,,,,,
1399,271,7,k,Z,厄介なご時勢で、携帯が使えないと大変不便なもの。,,,,,,,1
1400,271,8,Z,Z,仕方ないので向かいのコンビニで充電池を購入し、再度携帯から検索しました。,,1,,,,,
1401,271,9,Z,Z,すると、なぜか空きがあるので、「もしかしたら誤表示？」と思いながら予約し、再度フロントへ向かいました。（何度もすみませんでした；）,1,,,,,,
1402,271,10,Z,Z,しかし、予約できたのはやはり間違いだったのか、「そのような予約はありません」ということでした。,1,,,,,,
1403,271,11,Z,Z,名前で検索しても、予約番号で検索しても、ホテル側には何も届いていないとうこと…。,1,,,,,,
1404,271,12,Z,Z,ご迷惑ですし、楽天のサーバやシステムのトラブルかな、と諦めて失礼しようとしたら、「あ、でもお部屋はありますよ」と引き止められました。,1,,,,,,
1405,271,13,Z,Z,・・・が、その後も、名前や予約番号を何度も確認していただき、フロントの方を１０分以上煩わせてしまいました。,1,,,,,,
1406,271,14,Z,Z,カウンターの両側で延々と首を傾げ合っていても、何の進展もないとわかってくださったのか、お部屋の鍵をくださいましたが…。,1,,,,,,
1407,271,15,k,k,ちょっと接客慣れしていない感じの方が２人ほど対応してくださっていましたが、他にチェックインなどのお客様がいなかったら、他のスタッフの方も横で見てないでフォローしてあげればいいのに、と思いました。,1,,,,,,
1408,271,16,k,k,予約するまでに時間を掛けていたのはこちらの問題ですが、フロントで１５分も立たされたのは初めてでした。,1,,,,,,
1409,271,17,k,k,疲れてしまいました…。,,,,,,,1
1410,271,18,k,k,楽天の問題かもしれません。,,,,,,,1
1411,271,19,y,y,が、対応マニュアルをもう少し広げた方がいいかもと思います。,1,,,,,,
1412,271,20,Z,Z,またお世話になると思いますので、宜しくお願いします。,,,,,,,1
,,,,,,,,,,,,
1413,272,1,k,k,季節の変わり目か暖房が効かず、ちょっと寒かったですね。,,,1,1,,,
1414,272,2,y,y,室温設定が自由に変えられると良いと思います。,,,,1,,,
,,,,,,,,,,,,
1415,273,1,Z,Z,2月13日に宿泊しました。,,,,,,,1
1416,273,2,p,p,一日中雪まじりの雨でしたので、駅から徒歩０分の立地には大変満足でした。,,1,,,,,
1417,273,3,p,p,また、翌日も荷物を昼まで預かってもらえたので、助かりました。,1,,,,,,
1418,273,4,e,o,駅の周辺は、飲食店が多く夕飯時にも全く困りませんでした。,,,,,,1,
1419,273,5,kp,e,ホテルの朝食は、品数が少なくちょっと残念かな…メッツチェーンがスタンプカードを発行していて、お得な情報がありましたので、今年は気にして利用してみたいと思っています。,,,,,,1,
,,,,,,,,,,,,
